	movie_id	subject	object
501	28756896	Thara	Nandan
502	4083603	Ray Talloway	Alex
503	4083603	Cheryl	Alex
504	4083603	Alex	Ray Talloway
505	2317340	Jason Voorhees	Edna
506	23775497	Mary Bennett	Greg
507	23775497	Greg	Mary Bennett
508	1620539	James Russell	Grace
509	1620539	Grace	James Russell
510	18503404	Clemmie	Winston Churchill
511	18503404	Winston Churchill	Clemmie
512	22701017	Virag Rao	Jhilmil Rao
513	22701017	Jhilmil Rao	Virag Rao
514	67419	Gino Felino	Laurie
515	11127272	Engor	Tigri
516	11127272	Tigri	Engor
517	14815506	Stefano	Alessandra
518	4103995	Pagan Trelowney	Judy Hale
519	4103995	Judy Hale	Pagan Trelowney
520	4103995	Lady Swann	Pagan Trelowney
521	4103995	Maxine Pascal	Judy Hale
522	4103995	Pagan Trelowney	Lady Swann
523	16348127	Shinji Okajima	Tsuma Sugako
524	16348127	Tsuma Sugako	Shinji Okajima
525	1704458	Valerie	John
526	1704458	Sonja	Leon
527	1704458	Leon	Sonja
528	1704458	Nik	Paula
529	223268	Raleigh St. Clair	Margot
530	223268	Royal Tenenbaum	Rachael
531	223268	Rachael	Royal Tenenbaum
532	223268	Margot	Raleigh St. Clair
533	31434689	Caroline	Dixie Boy Johnson
534	31434689	Dixie Boy Johnson	Caroline
535	2231378	Henry	Nellie
536	2231378	Nellie	Henry
537	22217327	Rana Vikram Singh	Laxmi
538	22217327	Laxmi	Rana Vikram Singh
539	2184209	Sally Farnham	Alex
540	2184209	Alex	Sally Farnham
541	20806295	Bette	Vic Huling
542	20806295	Vic Huling	Bette
543	1074253	Raymundo Rocket	Danielle
544	15395979	Furio	Magda
545	15395979	Magda	Furio
546	32998257	Lilian	Jack Dudley
547	32998257	Jack Dudley	Lilian
548	780873	Stu Shepard	Kelly
549	780873	Kelly	Stu Shepard
550	780873	Pam	Kelly
551	27486642	Amar Verma	Shobha
552	556241	Robin Hood	Marian
553	3286162	Florinda	Alcalde Esteban
554	3286162	Alcalde Esteban	Florinda
555	25451763	Kishore	Lavanya
556	25451763	Lavanya	Kishore
557	15922861	Fernando Robles	Liliana
558	15922861	Liliana	Fernando Robles
559	25436908	Nina Hamilton	Noah
560	14873085	Balthus	Setsuko
561	14873085	Setsuko	Balthus
562	1744691	Marjorie Beaslie	Stanley
563	1744691	Stanley	Marjorie Beaslie
564	21038957	Fritz Haber	Clara
565	13084559	Satyaveer Singh Randhawa	Nimmi
566	1218494	Uluriaq	Amaqjuaq
567	1218494	Kumaglak	Panikpak
568	1218494	Amaqjuaq	Uluriaq
569	8055027	Frederick	Lilliana Hoffman
570	8055027	Lilliana Hoffman	Frederick
571	18230450	Dora Baldini	Bruno Baldini
572	18230450	Marco	Bruno Baldini
573	9385381	Suzanne	Hokstedter
574	16179544	Sathyaraj	Maheshwari
575	16179544	Maheshwari	Sathyaraj
576	261107	Miriam	Anne Morton
577	261107	Miriam	Bruno Anthony
578	261107	Guy Haines	Anne Morton
579	261107	Anne Morton	Guy Haines
580	261107	Anne Morton	Bruno Anthony
581	261107	Bruno Anthony	Guy Haines
582	261107	Guy Haines	Miriam
583	261107	Guy Haines	Bruno Anthony
584	261107	Bruno Anthony	Miriam
585	261107	Anne Morton	Miriam
586	261107	Bruno Anthony	Anne Morton
587	29657080	David overpowers Heddon	Amy Sumner
588	22157803	Rajesh	Saraswathi
589	22157803	Saraswathi	Rajesh
590	4417478	Harry Bannerman	Grace
591	4417478	Grace	Harry Bannerman
592	3815899	John Haloran	Louise
593	29619112	Sreenath	Nagamani
594	29619112	Nagamani	Sreenath
595	16044362	Philippe Abrams	Julie
596	16044362	Julie	Philippe Abrams
597	786972	Tetsuya	Midori
598	786972	Azuma	Midori
599	12296019	Johnny Wyatt	Eugene
600	32099247	Christine Garth	Langley Barnes
601	32099247	Churchill	Langley Barnes
602	32099247	Langley Barnes	Christine Garth
603	34050487	Yates Martin	Sarah
604	34050487	Lily Owens	Yates Martin
605	34050487	Sarah	Lily Owens
606	34050487	Yates Martin	Lily Owens
607	31226363	Juan Lorenzo de la Riba	Silvia Guerrero
608	31226363	Silvia Guerrero	Juan Lorenzo de la Riba
609	171623	Jake Hoyt	Lisa
610	26754873	Tomoko	Arakawa
611	20913539	Buboy Fernandez	Jinkee Jamora
612	20913539	Manny Pacquiao	Jinkee Jamora
613	20913539	Jinkee Jamora	Manny Pacquiao
614	5007560	Amanda	Jamie Conway
615	5007560	Jamie Conway	Amanda
616	11235553	Arun Gupta	Lata
617	11235553	Lata	Arun Gupta
618	11235553	Anandi Devi	Lata
619	11235553	Lata	Anandi Devi
620	20211517	Anandan	Radha
621	1373745	Sarah	Lincoln Mathers
622	1373745	Lincoln Mathers	Sarah
623	25081004	Alexander the Great	Tracey
624	12289850	Hua Mulan	Liu Fendou
625	12289850	Liu Fendou	Hua Mulan
626	2020187	Dewey Hoople	Babette
627	25658502	Riggs	Tammy
628	9111772	Subbulakshmi	Kanthasamy
629	9111772	Kanthasamy	Subbulakshmi
630	14892910	Roger	Rose
631	12270563	Mary Hodgson	Charles Frohman
632	12270563	Charles Frohman	Mary Hodgson
633	31063136	Rajalakshmi	Jyotsna Mathew
634	5420499	Sheetal	Vinod
635	5420499	Raja Mam Mohan	Padmini
636	5420499	Vinod	Sheetal
637	29574385	Ravi Khanna	Seema
638	29574385	Seema	Ravi Khanna
639	24117367	Prem Chopra	Vidya
640	24117367	Vidya	Prem Chopra
641	9423251	Bijuriya	Vikram
642	9423251	Vikram	Bijuriya
643	12652521	John Brown	Cora
644	19437715	Babulal	Parul
645	28596983	Marisa	David
646	31528868	Mamie	Joe McDowell
647	31528868	Joe McDowell	Mamie
648	34657171	Lillian	Wesley Mouch blackmails Rearden
649	34657171	Wesley Mouch blackmails Rearden	Lillian
650	12978934	Pat	Beth Cappadora
651	12978934	Beth Cappadora	Pat
652	5971538	Alice	Don
653	5971538	Don	Alice
654	312498	Orin	Seibei
655	32943687	Maisie Dwyer	Roger Colville
656	32943687	Roger Colville	Maisie Dwyer
657	4194975	John Roxton	Maree
658	4194975	Maree	John Roxton
659	10361558	Jordan Oliver	Clarice
660	10361558	Bobo	Jordan Oliver
661	10361558	Bill Dana	Bobo
662	10361558	Jordan Oliver	Bobo
663	10361558	Bobo	Bill Dana
664	6838440	McKee	Elise Mckee
665	7286899	Meera	Shankar
666	7286899	Randhir Singh	Meera
667	7286899	Zeenat	Shankar
668	7286899	Zeenat	Meera
669	3025328	Alexa Pappadopoulos	Joey Jeremiah
670	3025328	Joey Jeremiah	Caitlin Ryan
671	3025328	Simon Dexter	Alexa Pappadopoulos
672	35204352	Aushadh Ghenara Manus Sarang	Raavi
673	10699799	Karan Singh	Meena
674	19451320	Minom	Neang Nhi
675	19451320	Neang Nhi	Minom
676	19451320	Veasna	Minom
677	19451320	Neang Nhi	Veasna
678	19451320	Minom	Veasna
679	10788870	Gallant III	Alicia
680	10788870	Alicia	Gallant III
681	3210303	Howard Campbell	Helga
682	3210303	Helga	Frank Wirtanen
683	3210303	Helga	Howard Campbell
684	3210303	Frank Wirtanen	Helga
685	2096585	Charles Langdon	Livy
686	2096585	Livy	Charles Langdon
687	10578291	Gemma	Zac
688	10578291	Zac	Gemma
689	1515881	Guan Ermei	Zhang Suo
690	1515881	Zhang Suo	Guan Ermei
691	1581992	Kajal	Raja
692	1581992	Raja	Kajal
693	6739637	Rakesh	Vidya Sharma
694	6739637	Vidya Sharma	Rakesh
695	5865997	Doña Elvira de Castañeda	Don Pedro López de Ayala
696	28887962	Muniyandi	Shivkami
697	18491946	Daniel Clay	Paula
698	6816597	Valentina Gherardini	Lidia
699	1224344	Clara	George
700	1224344	George	Clara
701	2506836	Everett Stacy	Lady Elizabeth Stacy
702	2506836	Lady Elizabeth Stacy	Everett Stacy
703	22198915	Harry Morgan	Meredith
704	22198915	Meredith	Harry Morgan
705	21174235	Ben	Anna
706	21174235	Anna	Ben
707	32998281	Anne Chute	Hardess Cregan
708	32998281	Hardess Cregan	Anne Chute
709	20288451	Chumki	Rony
710	20288451	Mina	Rohit
711	20288451	Rohit	Chumki
712	20288451	Chumki	Rohit
713	16897584	Marganne Stilson	Pauline
714	16897584	Pauline	Marganne Stilson
715	31985780	Pandari Bai	Sivaji Ganesan
716	31985780	Sivaji Ganesan	Pandari Bai
717	32076526	Nandu	Sandhya
718	32076526	Sandhya	Nandu
719	5872569	Gowri	Gudumba Shankar
720	5872569	Gudumba Shankar	Gowri
721	15398535	Ilona Koponen	Lauri
722	15398535	Lauri	Ilona Koponen
723	1410292	Kazamatsuri	Koharu
724	1410292	Inukai Heishiro	Koharu
725	1410292	Koharu	Kazamatsuri
726	1410292	Koharu	Inukai Heishiro
727	12596096	Anne	Gilbert
728	10693049	Stella	Sky
729	10693049	Sky	Stella
730	15094348	Jiang Shuyun	Shunzi
731	35068740	Veerasamy	Kumar
732	35068740	Kumar	Veerasamy
733	35068740	Muthu	Meena
734	35068740	Kumar	Meena
735	35068740	Meena	Muthu
736	35068740	Meena	Veerasamy
