	movie_id	character	agent_verbs	patient_verbs	attributes	title	religion	age	death	children
22499	17998525	Simon Westward	['leaves', 'loves', 'visit']							
22500	17998525	Sean Walsh	['finds']		['area']					
22501	17998525	Bernadette			['experiences']					
22502	18083698	Lynne	['spend']		['husband']					
22503	18083698	Terry Taylor		['condemns', 'distract']						
22504	18083698	Gary Underwood		['meet']		publisher				
22505	18083698	Armand			['friend']					
22506	18083698	Hubert Morrison				dancer				
22507	18083698	Hubert Morrison				Senator				
22508	18083698	Marge Endicott				instructor				
22509	28649111	Michael	['faces', 'makes', 'searches', 'spent']		['attendant']					
22510	28649111	Esther	['hides', 'it', 'resident']		['life']					
22511	6767900	Shyam	['heroes', 'orphans', 'naughty']	['filled']						
22512	6767900	Sivan	['heroes']	['filled']						
22513	6767900	Snehalatha	['finds', 'takes']			Principal				
22514	6767900	Kamal	['introduces', 'provides']							
22515	6767900	Suhasini	['done']							
22516	6767900	Aparna	['ragged']	['teased']						
22517	6767900	Shivan	['orphans']							
22518	8496235	Tom	['draws']		['one', 'characters']					
22519	8496235	Richard Linklater			['Slacker']					
22520	8496235	Liz Gill				director				
22521	240173	Jack Bull Chiles	['dies', 'friends']		['father']					
22522	240173	Jake Roedel	['escorts', 'friends']							
22523	240173	George Clyde	['granted']	['meet']						
22524	240173	Sue Lee Shelley		['escorts']	['widow']					
22525	240173	Lawrence			['Kansas']					
22526	9175716	Guy	['pestering', 'buys', 'makes', 'asks', 'takes']		['songs', 'Square']					
22527	9175716	Eamon			['engineer']	engineer				
22528	6701449	Padayappa	['plans', 'love', 'retaliates', 'engineer', 'finds', 'makes', 'succeeds', 'maintains', 'obeys', 'decides']	['having', 'kill', 'get', 'take', 'marry', 'humiliated']	['father', 'hired', 'mother', 'daughter']	engineer				
22529	6701449	Nilambari	['finds', 'reaches', 'commits', 'told', 'tries', 'successful']	['marry', 'allow', 'kill']	['plan', 'dad', 'brother', 'servant']					
22530	6701449	Nilambiri	['love']		['daughter']					
22531	6701449	Vasundhara		['kill']	['servant', 'mother']	servant				
22532	338962	Madison	['vague', 'tells', 'makes', 'due', 'warns']	['smuggle', 'taken', 'chooses']	['behavior', 'secret']					
22533	338962	Allen Bauer	['continues', 'jumps', 'co-owner', 'fall', 'realizes', 'confronts', 'shocked', 'returns', 'comes']	['look', 'tells', 'distract', 'pulled', 'return', 'leaves', 'believe']	['scientists', 'wallet', 'demands']	co-owner				
22534	338962	Walter Kornbluth	['regrets', 'realizing', 'encounters', 'ends']	['confronts', 'encounters']	['ridden', 'colleague']	scientist				
22535	338962	Freddie			['scientists', 'his', 'older', 'womanizing']					
22536	414180	Julian Mercer	['decided', 'fallen', 'appears', 'figured']	['step']		doctor				
22537	414180	Erica Barry	['pulls', 'spend', 'waiting', 'figures', 'unaffected', 'get', 'life', 'allows', 'rebuffs']	['surprise', 'loves', 'tells', 'see']	['play', 'married', 'ex-husband']	playwright				
